Department,University,City/Cities,Marks required,Labs Avalible,Course Description,Admission dates,shifts,online,offered courses,clean_text
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Abasyn University,"Islamabad, Peshawar",60,Yes,"Abasyn University offers professional and academic degree programs focusing on practical skills, lab work, and industry-oriented education. Programs include computing, engineering, pharmacy, health sciences, life sciences, business, and social sciences. Courses combine theory, labs, projects, and internships to prepare students for professional careers.","January , February , July , August","Morning ,Evening",no,"MA (English, Education, etc.)

MBA

MS (Computer Science, Management, Engineering, etc.)

MPhil

PhD ,BS Computer Science

BS Software Engineering

BS Data Science

BS Artificial Intelligence

BS Cyber Security

BS Information Technology

BE Civil Engineering

BE Electrical Engineering

BS Microbiology

BS Biotechnology

BS Food Science & Nutrition

Doctor of Pharmacy (Pharm-D)

Doctor of Physical Therapy (DPT)

BBA

BS Accounting & Finance

BS English

BS Psychology",abasyn university offer professional academic degree program focus practical skill   lab work   industry orient education   program include compute   engineering   pharmacy   health science   life sciences   business   social science   course combine theory   lab   project   internship prepare student professional career
"Microbiology, Medical Lab Technology, Pharmacy, Food Science & Technology, Computer Science, Software Engineering, Chemistry, Mathematics, Physics, Zoology, Earth Sciences, Economics, Management Sciences, Psychology, English, Pakistan Studies, International Relations, Business Administration, Banking & Finance, Tourism & Hospitality, Education, and other BS/MS/MPhil/PhD streams",Abbottabad University of Science and Technology (AUST),Abbottabad,50,Yes,"Offers undergraduate, graduate and postgraduate degrees with emphasis on theory, practical labs, research, and applied skills across sciences, technology, business and social sciences ","July , August","Morning, Evening",in critical situations,"Pharm-D, BS Microbiology, BS Medical Lab Technology (MLT), BS Food Science & Technology, BS Computer Science, BS Software Engineering, BS Mathematics, BS Physics, BS Chemistry, BS Zoology, BS Earth Sciences, BBA, BS Economics, BS Banking & Finance, BS Tourism & Hospitality, BS Psychology, BS English, BS Pakistan Studies, MSc/MS degrees in various areas, MPhil, PhD ",offer undergraduate   graduate postgraduate degree emphasis theory   practical lab   research   apply skill science   technology   business social science
"Faculty of Arts & Humanities, Faculty of Agriculture, Faculty of Business & Economics, Faculty of Chemical & Life Sciences, Faculty of Technologies & Engineering Sciences, Faculty of Numerical & Physical Sciences, Faculty of Social Sciences, Institute of Business Studies & Leadership, Computer Science, Education, Pharmacy, Law, Economics, Management Sciences, Botany, Biotechnology, Chemistry, Microbiology, Zoology, Physics, Mathematics, Statistics, Geology, Environmental Sciences, International Relations, Political Science, Tourism & Hospitality, Physical Education, Psychology, English, Agriculture & Food Sciences, Animal Sciences, Environmental Health & Safety, Design & Fine Arts and many BS/MS/MPhil/PhD disciplines",Abdul Wali Khan University,"Mardan, Pabbi (Nowshera campus), Timergara",50,yes,"Offers undergraduate, graduate, postgraduate and research-oriented programs across sciences, arts, business, technology, agriculture, life sciences and social sciences, combining theoretical study, practical labs, research projects and professional skill development","June,July","Morning, Evening",no,"BS Agriculture, BS Food Science & Technology, BS Archaeology, BBA, BS Banking & Finance, BS Commerce, BS Economics, BS Computer Science, BS English, BS Physics, BS Chemistry, BS Biotechnology, BS Botany, BS Zoology, BS Environmental Sciences, BS Tourism & Hospitality, BS Mathematics, BS Statistics, BS Psychology, BS Environmental Health & Safety, Pharm-D, LLB (Law), B.Ed, BS Education, MS Computer Science, MS Economics, MPhil Education, PhD Chemistry, PhD Computer Science, PhD Economics, and many other MA/MS/MPhil/PhD programs across disciplines",offer undergraduate   graduate   postgraduate research orient program science   art   business   technology   agriculture   life science social science   combine theoretical study   practical lab   research project professional skill development
"Faculty of Arts & Sciences, School of Nursing & Midwifery, Medical College (Medicine), Graduate & Postgraduate Studies (Public Health, Health Management, Education, Biological & Biomedical Sciences, Epidemiology, Bioethics, Healthcare Management)",Aga Khan University,"Karachi (Pakistan),",60,Yes,"Offers world-class education focused on health sciences, medicine, nursing, arts & sciences, public health, research, leadership and community service with strong emphasis on research, clinical practice, experiential learning and interdisciplinary study",, Morning,Yes,"MBBS, BS Arts & Sciences, BSc Nursing, Post-RN BScN, BSc Midwifery, Masters in Public Health, Health Policy & Management, Education, Bioethics, MS, MPhil, PhD",offer world class education focus health science   medicine   nursing   art    science   public health   research   leadership community service strong emphasis research   clinical practice   experiential learning interdisciplinary study
"Engineering, Computing & AI, Aerospace & Aviation, Management Sciences, Social Sciences, Basic Sciences","Air University, Islamabad","Islamabad, Multan, Kamra

Online classes : Sometimes (mainly on-campu",60,Yes,"Internationally recognized university focused on medicine, health sciences, nursing, research, leadership, and community development","October,January","Morning, Evening",no,"BS Computer Science, BS Software Engineering, BS AI, BS Cyber Security, BE Electrical Engineering, BE Mechanical Engineering, BE Aerospace Engineering, BBA, BS Economics, BS Mathematics, MS, MBA, MPhil, PhD",internationally recognize university focus medicine   health sciences   nursing   research   leadership   community development
"Strategic Studies, National Security & Strategic Leadership, Military Research (professional military education)","Air War College Institute, Karachi",Karachi,60,no,"A specialized degree?awarding military institute for mid?career and senior officers of Pakistan armed forces, focusing on advanced national security, strategic studies, military leadership, joint operations and research; awards MS National Security & Strategic Studies upon completion",depend on military term schedule,Day ,no,"Air War Course (AWC), Air Command & Staff Course (AC&SC), MS in National Security & Strategic Studies",specialized degree award military institute mid career senior officer pakistan armed force   focus advanced national security   strategic study   military leadership   joint operation research   award ms national security    strategic study completion
"GeneralIslamic Studies, Education, Law/Shariah, Management & Business, Computer Science (general faculties)","Al-Ghazali University, Karachi",Karachi,60,Yes,"A public Islamic university combining religious education with contemporary academic programs such as Islamic Finance, Computer Science, Business & Education; emphasizes tradition and modern knowledge integration","August , September","Morning, Possibly some Evening",sometinme,"BS Computer Science, BS Islamic Studies, BS Islamic Finance, BS Shariah & Finance, BBA, BS Education, MS Islamic Banking & Finance, MS Islamic Studies (multiple tracks)",public islamic university combine religious education contemporary academic program islamic finance   computer science   business    education   emphasize tradition modern knowledge integration
"Computer Science, Islamic Studies, Arts & Humanities, Social Sciences, possibly Engineering & Education (general pattern for private Islamic university offerings)",Al-Hamd Islamic University,Quetta (and possible Islamabad campus),60,yes,"A degree?awarding institution offering a blend of Islamic education and modern academic programs including computing, business and humanities, aiming to integrate ethical values with professional skills","July,August","Morning, Possibly Evening",sometime,"BS Computer Science, BBA, BS Economics, Islamic Studies, Education, various postgraduate programs",degree award institution offer blend islamic education modern academic program include compute   business humanity   aim integrate ethical value professional skill
"Education & Teacher Training, Professional Development, Instructional Design",Ali Institute of Education,Lahore,60,yes,"A private institute specializing in teacher education and professional development, offering pre?service and in?service training, diplomas, bachelors and postgraduate programs focused on modern teaching methods, curriculum design, and educational leadership","June,August","Morning, Some flexible scheduling for workshops / diplomas",yes,"B.Ed., M.Ed., Post Graduate Diploma in Education (PGDE), Post Graduate Diploma in Education Leadership & Management, Diploma & certificate programs in teaching, online professional courses",private institute specialize teacher education professional development   offer pre service service training   diploma   bachelor s postgraduate program focus modern teaching method   curriculum design   educational leadership
"Business, Management & General Studies (typical for private institute)","Al-Karam International Institute, Bhera",Bhera (Sargodha District),60,yes,"A private educational institute offering undergraduate and professional programs in business, management, and allied sciences with a focus on practical industry skills and employability","July, August","Morning, Evening",Sometimes ,"BBA, BS Accounting & Finance, BS Computer Science, and other related programs",private educational institute offering undergraduate professional program business   management   ally science focus practical industry skill employability
