Department,University,City/Cities,Marks required,Labs Avalible,Course Description,Admission dates,shifts,online,Course title
"Computing & IT, Engineering, Health Sciences, Life Sciences, Management Sciences, Social Sciences, Pharmacy",Abasyn University,"Islamabad, Peshawar",60,Yes,"Abasyn University offers professional and academic degree programs focusing on practical skills, lab work, and industry-oriented education. Programs include computing, engineering, pharmacy, health sciences, life sciences, business, and social sciences. Courses combine theory, labs, projects, and internships to prepare students for professional careers.","January , February , July , August","Morning ,Evening",no,"MA (English, Education, etc.)

MBA

MS (Computer Science, Management, Engineering, etc.)

MPhil

PhD ,BS Computer Science

BS Software Engineering

BS Data Science

BS Artificial Intelligence

BS Cyber Security

BS Information Technology

BE Civil Engineering

BE Electrical Engineering

BS Microbiology

BS Biotechnology

BS Food Science & Nutrition

Doctor of Pharmacy (Pharm-D)

Doctor of Physical Therapy (DPT)

BBA

BS Accounting & Finance

BS English

BS Psychology"
"Microbiology, Medical Lab Technology, Pharmacy, Food Science & Technology, Computer Science, Software Engineering, Chemistry, Mathematics, Physics, Zoology, Earth Sciences, Economics, Management Sciences, Psychology, English, Pakistan Studies, International Relations, Business Administration, Banking & Finance, Tourism & Hospitality, Education, and other BS/MS/MPhil/PhD streams",Abbottabad University of Science and Technology (AUST),Abbottabad,50,Yes,"Offers undergraduate, graduate and postgraduate degrees with emphasis on theory, practical labs, research, and applied skills across sciences, technology, business and social sciences ","July , August","Morning, Evening",in critical situations,"Pharm-D, BS Microbiology, BS Medical Lab Technology (MLT), BS Food Science & Technology, BS Computer Science, BS Software Engineering, BS Mathematics, BS Physics, BS Chemistry, BS Zoology, BS Earth Sciences, BBA, BS Economics, BS Banking & Finance, BS Tourism & Hospitality, BS Psychology, BS English, BS Pakistan Studies, MSc/MS degrees in various areas, MPhil, PhD "
"Faculty of Arts & Humanities, Faculty of Agriculture, Faculty of Business & Economics, Faculty of Chemical & Life Sciences, Faculty of Technologies & Engineering Sciences, Faculty of Numerical & Physical Sciences, Faculty of Social Sciences, Institute of Business Studies & Leadership, Computer Science, Education, Pharmacy, Law, Economics, Management Sciences, Botany, Biotechnology, Chemistry, Microbiology, Zoology, Physics, Mathematics, Statistics, Geology, Environmental Sciences, International Relations, Political Science, Tourism & Hospitality, Physical Education, Psychology, English, Agriculture & Food Sciences, Animal Sciences, Environmental Health & Safety, Design & Fine Arts and many BS/MS/MPhil/PhD disciplines",Abdul Wali Khan University,"Mardan, Pabbi (Nowshera campus), Timergara",50,yes,"Offers undergraduate, graduate, postgraduate and research-oriented programs across sciences, arts, business, technology, agriculture, life sciences and social sciences, combining theoretical study, practical labs, research projects and professional skill development","June,July","Morning, Evening",no,"BS Agriculture, BS Food Science & Technology, BS Archaeology, BBA, BS Banking & Finance, BS Commerce, BS Economics, BS Computer Science, BS English, BS Physics, BS Chemistry, BS Biotechnology, BS Botany, BS Zoology, BS Environmental Sciences, BS Tourism & Hospitality, BS Mathematics, BS Statistics, BS Psychology, BS Environmental Health & Safety, Pharm-D, LLB (Law), B.Ed, BS Education, MS Computer Science, MS Economics, MPhil Education, PhD Chemistry, PhD Computer Science, PhD Economics, and many other MA/MS/MPhil/PhD programs across disciplines"
"Faculty of Arts & Sciences, School of Nursing & Midwifery, Medical College (Medicine), Graduate & Postgraduate Studies (Public Health, Health Management, Education, Biological & Biomedical Sciences, Epidemiology, Bioethics, Healthcare Management)",Aga Khan University,"Karachi (Pakistan),",60,Yes,"Offers world-class education focused on health sciences, medicine, nursing, arts & sciences, public health, research, leadership and community service with strong emphasis on research, clinical practice, experiential learning and interdisciplinary study",, Morning,Yes,"MBBS, BS Arts & Sciences, BSc Nursing, Post-RN BScN, BSc Midwifery, Masters in Public Health, Health Policy & Management, Education, Bioethics, MS, MPhil, PhD"
"Engineering, Computing & AI, Aerospace & Aviation, Management Sciences, Social Sciences, Basic Sciences","Air University, Islamabad","Islamabad, Multan, Kamra

Online classes : Sometimes (mainly on-campu",60,Yes,"Internationally recognized university focused on medicine, health sciences, nursing, research, leadership, and community development","October,January","Morning, Evening",no,"BS Computer Science, BS Software Engineering, BS AI, BS Cyber Security, BE Electrical Engineering, BE Mechanical Engineering, BE Aerospace Engineering, BBA, BS Economics, BS Mathematics, MS, MBA, MPhil, PhD"
"Strategic Studies, National Security & Strategic Leadership, Military Research (professional military education)","Air War College Institute, Karachi",Karachi,60,no,"A specialized degree?awarding military institute for mid?career and senior officers of Pakistan armed forces, focusing on advanced national security, strategic studies, military leadership, joint operations and research; awards MS National Security & Strategic Studies upon completion",depend on military term schedule,Day ,no,"Air War Course (AWC), Air Command & Staff Course (AC&SC), MS in National Security & Strategic Studies"
"GeneralIslamic Studies, Education, Law/Shariï¿½ah, Management & Business, Computer Science (general faculties)","Al-Ghazali University, Karachi",Karachi,60,Yes,"A public Islamic university combining religious education with contemporary academic programs such as Islamic Finance, Computer Science, Business & Education; emphasizes tradition and modern knowledge integration","August , September","Morning, Possibly some Evening",sometinme,"BS Computer Science, BS Islamic Studies, BS Islamic Finance, BS Shariï¿½ah & Finance, BBA, BS Education, MS Islamic Banking & Finance, MS Islamic Studies (multiple tracks)"
"Computer Science, Islamic Studies, Arts & Humanities, Social Sciences, possibly Engineering & Education (general pattern for private Islamic university offerings)",Al-Hamd Islamic University,Quetta (and possible Islamabad campus),60,yes,"A degree?awarding institution offering a blend of Islamic education and modern academic programs including computing, business and humanities, aiming to integrate ethical values with professional skills","July,August","Morning, Possibly Evening",sometime,"BS Computer Science, BBA, BS Economics, Islamic Studies, Education, various postgraduate programs"
"Education & Teacher Training, Professional Development, Instructional Design",Ali Institute of Education,Lahore,60,yes,"A private institute specializing in teacher education and professional development, offering pre?service and in?service training, diplomas, bachelorï¿½s and postgraduate programs focused on modern teaching methods, curriculum design, and educational leadership","June,August","Morning, Some flexible scheduling for workshops / diplomas",yes,"B.Ed., M.Ed., Post Graduate Diploma in Education (PGDE), Post Graduate Diploma in Education Leadership & Management, Diploma & certificate programs in teaching, online professional courses"
